timestamp,aluminium_aerosol(kg),aluminium_can(kg),aluminium_other(kg),battery(kg),book(kg),bottlecap(kg),card_corrugated(kg),card_greyboard(kg),coffeecuplid(kg),composite_cup_drink(kg),composite_cup_food(kg),container_clear(kg),container_fragment_black(kg),container_fragment_coloured(kg),container_fragment_white(kg),container_lid_black(kg),container_lid_coloured(kg),container_lid_white(kg),container_pot_black(kg),container_pot_coloured_food(kg),container_pot_coloured_nonfood(kg),container_pot_white_circle(kg),container_pot_white_rectangle(kg),container_tray_black(kg),container_tray_coloured_matte(kg),container_tray_coloured_shiny(kg),container_tray_white(kg),container_tub_black(kg),container_tub_coloured(kg),container_tub_white_dairyspread(kg),container_tub_white_other(kg),fabric(kg),facemask(kg),fibre_mixed(kg),film_black(kg),film_bottlelabel(kg),film_bubblewrap(kg),film_clear(kg),film_clear_printed(kg),film_coloured(kg),film_coloured_printed(kg),film_filledbag(kg),film_metallised(kg),fine(kg),generalwaste(kg),glass_bottle_brown(kg),glass_bottle_clear(kg),glass_bottle_green(kg),glass_cullet_brown(kg),glass_cullet_clear(kg),glass_cullet_green(kg),glass_other(kg),hdpe_bottle_coloured_food(kg),hdpe_bottle_coloured_nonfood(kg),hdpe_bottle_natural_food(kg),hdpe_bottle_natural_nonfood(kg),magazine(kg),magazine(kg),metal_other(kg),newspaper_complete(kg),newspaper_sheet(kg),paper_glossygraphic_coloured(kg),paper_kraft_brown(kg),paper_office_coloured(kg),paper_office_white(kg),paper_other(kg),paper_tissue_blue(kg),paper_tissue_white(kg),pet_bottle_brown_food(kg),pet_bottle_clear_food(kg),pet_bottle_clear_food_covered(kg),pet_bottle_clear_nonfood(kg),pet_bottle_clear_nonfood_covered(kg),pet_bottle_coloured_nonfood(kg),pet_bottle_darkblue_food(kg),pet_bottle_green_food(kg),pet_bottle_lightblue_food(kg),pet_bottle_othercolour_food(kg),pet_bottle_white_food(kg),plastic_bottle_black(kg),plastic_bottle_coloured_yoghurt(kg),plastic_bottle_natural_yoghurt(kg),plastic_other(kg),plastic_other_black(kg),ps_styrofoam(kg),sanitary(kg),steel_can(kg),tetrapak_carton(kg),tetrapak_carton(kg),weee(kg),wipe
2024-09-17 00:00,0,15.554,29.7900000000001,0,0.399999999999999,4.24199999999999,8.244,150.66,0.231,8.47999999999999,1.56,268.780000000001,1.768,4.184,8.50199999999998,0.512,5.328,14.724,1.312,2.112,2,59.55,0.324,13.216,4.176,2.032,37.236,0,0.159999999999999,0.744,0.18,19.86,0,0.051180000000001,25.365,11.663,4.7442,-337.46,136.21,191.925,160.18,25.5,8.989,0.03159,106.32,0,0,0,0,3.86500000000001,0,0,13.95,61.335,4.35,16.842,0.5,0.5,2.7,0,0.15022,0.39027,5.3224,0.517719999999999,9.20499999999998,0.321902,0,3.2996,0,153.25,11.25,12.151,8.34999999999999,13.195,20.925,35,36.475,0,26.325,8.19999999999999,1.288,0.384,83.49,16.12,105.35,70.2000000000001,11.618,9.13500000000002,9.13500000000002,4.5,0.39543
2024-09-17 01:00,0,6.87399999999997,14.5599999999999,0,0.240000000000002,2.328,6.729,83.7800000000002,0.138000000000001,7.20000000000002,1.34,150.849999999999,0.960000000000001,2.384,3.666,0.192,3.36,7.78800000000001,0.768000000000001,1.056,1.27999999999999,30.24,0.096,7.67999999999998,2.44799999999999,0.896000000000001,21.1079999999999,0,0.112,0.276,0.132000000000001,13.74,0,0,13.533,5.17099999999999,3.241,-153.42,66.8999999999999,107.8,87.5499999999997,7,4.06700000000001,0.01778,44.6999999999998,0,0,0,0,1.979,0,0,8.79000000000002,29.2899999999998,2.4,9.91199999999998,0.6,0.6,0.959999999999994,0,0.05044,0.13811,2.946,0.377550000000001,4.047,0.058184,0,1.7822,0,105.33,6.82499999999999,8.06200000000001,5.90000000000001,9.91800000000001,15.375,19.925,22.05,0,15.95,5.28,0.815999999999999,0.12,43.6900000000001,7.20999999999998,53.1599999999999,45.2000000000001,4.66200000000001,3.74499999999998,3.74499999999998,4.75,0.06983
2024-09-17 02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0641172,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-09-17 03:00,0,14.182,21.42,0,0.88,2.772,9.24955,103.848,0.243,8.8,1.46,154.464,1.44,2.904,5.292,0.224,3.696,11.22,0.72,1.296,1.312,39.444,0.228,9.136,2.8,1.376,25.224,0,0.192,0.384,0.252,15.42,0,0.0676878,19.6322,7.28983,5.63098,-253.589,108.784,174.4218828,123.212,22.5,6.19668,0.02434,86.82,0,0,0,0,3.24615,0,0,12.09,36.765,3.12,10.584,0.5,0.5,2.58,0,0.139486,0.364002,3.71953,0.795678,8.10846,0.100163,0,2.76681,0,102.625,6.325,8.787,6.45,9.628,15.45,29.025,25.65,0,19.575,6.22,1.048,0.152,58.01,9.65,85.9822,62.8,15.244,5.81,5.81,8.5,0.238087
2024-09-17 04:00,0,19.026,33.81,0,1.04,4.725,6.81375,146.645,0.264,8.6,1.66,219.28,1.72,3.392,6.054,0.592,4.736,13.032,1.152,1.584,1.344,51,0.216,11.232,3.232,1.152,30.324,0,0.24,0.6,0.252,11.82,0,0.0495242,9.4807,6.83907,2.72233,-168.646,84.839,101.433,109.323,24.5,7.46402,0.04098,98.73,0,0,0,0,5.38025,0,0,15.78,45.315,3.33,12.642,0.5,0.5,3.16,0,0.078828,0.110466,2.59517,0.572282,5.83014,0,0,2.33678,0,102.1,9.35,10.382,7.4,13.949,15.125,23.5,21.725,0,23.425,9.88,1.104,0.216,78.59,16.52,84.3628,75,13.616,11.235,11.235,6.25,0.137688
2024-09-17 05:00,0,18.83,35.16,0,1.04,5.463,5.6109,136.124,0.279,10.57,2.22,251.68,2.016,4.024,6.462,0.48,5.184,14.22,1.312,2.048,1.936,57.732,0.204,13.264,4.272,1.664,34.668,0,0.384,0.756,0.3,14.16,0,2.222468,9.7587,7.6094,2.32899,-182.227,94.831,96.253,125.181,18.5,7.8617,0.03873,89.97,0,0,0,0,5.5138,0,0,19.8,52.56,4.29,15.288,0.4,0.4,3.42,0,0.106592,0.217642,2.52278,0.41452,6.2993,0.057533,0,2.03701,0,126.15,11.625,12.122,8.5,16.588,17.775,27.025,25.375,0,28.125,11.72,1.56,0.296,88.74,17.76,94.052,74.8,14.134,10.08,10.08,6.25,0.218784
2024-09-17 06:00,0,16.254,21.56,0,0.4,3.441,3.6773,116.258,0.375,6.03,1.48,200.368,1.32,3.52,6.726,0.528,6.208,12.492,1.04,1.92,1.616,47.772,0.228,8.848,4.432,1.52,25.884,0,0.208,0.708,0.168,11.22,0,0,3.8885,5.2178,0.776400000000001,-86.832,57.932,33.89,78.378,14,5.6901,0.03042,154.26,0,0,0,0,4.9658,0,0,9.96,28.62,2.46,7.854,0.1,0.1,2.18,0,0.068648,0.092535,1.58122,0.38229,4.2344,0,0,1.24689,0,67.95,7.525,7.134,7.6,8.874,7.325,14.1,13.925,0,21.225,5.84,0.815999999999999,0.2,71.36,14,71.749,42.4,9.546,6.72,6.72,6.75,0.0725
2024-09-17 07:00,0,11.914,12.07,0,0.4,2.418,2.1487,73.081,0.087,3.74,0.739999999999999,95.7439999999999,0.784,1.624,2.682,0.304,3.184,6.432,0.64,0.912,0.8,21.756,0.144,5.024,2.096,0.544000000000001,10.272,0,0.096,0.228,0.132,4.44000000000001,0,0.9475,3.8842,2.7826,0.6335,-55.939,31.47,21.657,42.825,4,2.8776,0.0168,68.8800000000001,0,0,0,0,1.9215,0,0,5.43,25.11,1.02,6.09,0,0,1.66,0,0.027351,0.158171,1.0061,0.36687,1.859,0,0,0.727650000000001,0,45.525,4.425,4.524,3.925,5.481,6.1,8.52499999999999,8.60000000000001,0,11.375,3.94,0.528000000000001,0.136,37.44,7.95,43.966,23.8,8.066,3.78,3.78,1.75,0.015508
2024-09-17 08:00,0,40.698,45.5,0,1.52,15.48,6.9459,232.337,0.297,9.27,2.14,319.984,2.784,4.712,13.656,0.56,8.928,20.172,2.496,2.448,2.48,82.272,0.468,17.408,6.368,1.696,37.044,0,0.416,1.116,0.468,12,0,0.21205,9.8401,22.6747,1.4504,-192.872,109.533,57.783,150.906,14,11.965,0.07222,355.05,0,0,0,0,9.252,0,0,15.48,59.22,4.02,17.892,1,1,4.36,0,0.078969,1.165914,2.8643,0.39695,8.4235,0,0,2.37586,0,116.075,14.075,13.021,11.625,16.124,17.775,21.65,26.875,0,30.525,12.86,1.696,0.224,153.32,34.43,153.405,64.2,17.908,15.785,15.785,4,0.100162
2024-09-17 09:00,0,29.708,42.93,0,0.48,9.282,4.1313,185.725,0.387,7.93,2.16,372.88,2.192,6.048,19.464,0.752,8.256,27.468,1.984,3.728,2.656,111.168,0.492,17.712,6.16,1.952,60.252,0,0.368,1.572,0.516,6.53999999999999,0,0.14286,7.8201,16.1059,0.899699999999999,-161.115,111.525,51.107,151.73,12,12.6242,0.05363,415.77,0,0,0,0,5.9082,0,0,14.64,55.98,2.88,14.952,0.2,0.2,4.54,0,0.07019,0.12801,1.4709,0.18066,6.7882,0,0,1.4984,0,116.225,16.375,16.298,11.175,15.515,22.4,18.975,29.8,0,34.525,12.54,1.656,0.384,144.84,29.45,148.729,44.6,15.836,13.545,13.545,6.25,0.071441
